dataset,regime,problem_id,route_pairs,h1_effect,h2_effect,h3_success_difference,h3_margin_gap
gsm8k,near_early,0d6711e2925a53337f67f59afa6a7f32502619a68b984fef473f8e425ae08e42,36,0.0,,0.0,-0.625
gsm8k,near_early,06c1abfe55fcc87a2559500d01e1db0ffee09ccde3373bfd33ea7853c4da946b,36,,,1.0,1.8125
gsm8k,near_early,042c02746802e4b6763c837914f0f28fae17f14c6a32cd98c2e254791fc07dfb,36,-0.1733333333333333,-0.3333333333333333,0.0,0.0
gsm8k,near_early,069f6cd31d89a97c36ab1db340958a0a435416660ed1f7cc4555a93bc466ac81,36,,-0.027777777777777776,0.0,0.25
gsm8k,near_early,00654999ca85285f19b8896f7ffaaf5981bf88701cf26a8e50650cf959fea3da,36,0.0,,0.0,0.0
gsm8k,near_early,02110f4c95ec33333218253ae7507fd0f6bee98c922548bb1b6814b066271c14,36,,0.01851851851851852,-1.0,-0.25
gsm8k,near_early,0264a7faeb62e07f12a024bea6129f85d6dbd974c7bce73ac94d14ec229c4eda,36,,-0.1,1.0,0.875
gsm8k,near_early,0dd2f0349ad536b73d1628c7a8ba96eae512476c34cb8f1c105017e1597b15dd,36,,-0.02222222222222222,0.0,1.25
gsm8k,near_early,0f822fbb0811bdf80fae5e0a54391aa6cc7cfb7cab69d2504f69f47458c69805,36,,0.0,0.0,0.625
gsm8k,near_early,0e762e85088891d175fbaeb6bfde84da3677c5e15b683f064258d1d66baa3592,36,,0.0,1.0,4.4375
gsm8k,medium,084577c45ab813d1fa5aa0a04257f7dd500557be9e06410a674e3935022f0067,36,,0.05555555555555558,0.0,0.25
gsm8k,medium,0270a167830c18419ddee1b968f27067a5eb9ef1dacff873ddb1e16c3d017478,36,0.0,0.15555555555555556,0.0,0.3125
gsm8k,medium,081f7a29a59c9ed3ebebd91b1a88384f1280b328ad6be68670f93695ad0c1b0a,36,,-0.033333333333333326,1.0,1.25
gsm8k,medium,0c0f15cc9083b3f8608ea984d66aa47df39de10a153296bbf8049d091c65d55a,36,0.13333333333333336,0.0,0.0,0.25
gsm8k,medium,01bfcc0e852a1d29fd4744b97b83fbd3cae6720ba66dde58a9282f0b6a096abf,36,0.0,0.16666666666666669,0.0,0.625
gsm8k,medium,09ee1c457c38650ad6084fc98bea7cf53ca98ba298500a9f3a5453d683000ceb,36,0.0,9.25185853854297e-18,0.0,0.125
gsm8k,medium,0e15d21591acf91047c42bb7c8157aba2ff3743e5f08e228f4f850ee51848dbc,36,,0.0,0.0,0.0
gsm8k,medium,053f59b0619cf6f928214a946f513b6d7f51516c53fb4c533578d2ec40c9a18d,36,,0.11111111111111112,0.0,0.5
gsm8k,medium,12ba917704bbc51c6e7a1aba39a2fff82e82ec12941d6fec5d3010131320b746,36,-0.3333333333333333,0.0,0.0,0.0
gsm8k,medium,0ddccee16a7a50c5d4c8af9836029befc5c6e385c256a3089399b7bdeeb04a2a,36,0.20000000000000004,-0.08333333333333333,1.0,1.5
gsm8k,medium,060edd899f95d83128cf6cce2fa88efef880218af000684c6ba710fff535034e,36,-0.2222222222222222,0.022222222222222233,0.0,0.875
gsm8k,medium,035f5831e174711adc99caee27750f2356b4e6909f13d63f7fba156f98d4ee2f,36,-0.1111111111111111,-0.02222222222222222,0.0,0.4375
