model_id,prompt_mode,domain,pairs,pair_accuracy,self_accuracy,opponent_accuracy,flip_rate,same_action_rate
qwen35_4b,direct,exploration,30,0.6666666666666666,0.7666666666666667,0.9,0.6666666666666666,0.3333333333333333
qwen35_4b,direct,logistics,30,0.6,0.6666666666666666,0.9333333333333333,0.6,0.4
qwen35_4b,direct,resource_game,30,0.6666666666666666,0.7666666666666667,0.9,0.6666666666666666,0.3333333333333333
qwen35_4b,direct,tool_agent,30,0.9,0.9,1.0,0.9,0.1
qwen35_4b,local_operator,abstract_game,30,0.9,1.0,0.9,0.9,0.1
qwen35_4b,local_operator,cyber_defense,30,0.8,1.0,0.8,0.8,0.2
qwen35_4b,local_operator,exploration,30,0.9,1.0,0.9,0.9,0.1
qwen35_4b,local_operator,logistics,30,0.9,1.0,0.9,0.9,0.1
qwen35_4b,local_operator,resource_game,30,0.9,0.9666666666666667,0.9333333333333333,0.9,0.1
qwen35_4b,local_operator,tool_agent,30,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.03333333333333333
qwen35_4b,positive_operator,abstract_game,30,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.03333333333333333
qwen35_4b,positive_operator,cyber_defense,30,0.8,1.0,0.8,0.8,0.2
qwen35_4b,positive_operator,exploration,30,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.13333333333333333
qwen35_4b,positive_operator,logistics,30,0.8666666666666667,0.9666666666666667,0.9,0.8666666666666667,0.13333333333333333
qwen35_4b,positive_operator,resource_game,30,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.13333333333333333
qwen35_4b,positive_operator,tool_agent,30,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.03333333333333333
qwen35_9b,bellman,abstract_game,30,0.9,0.9666666666666667,0.9333333333333333,0.9,0.1
qwen35_9b,bellman,cyber_defense,30,0.7333333333333333,1.0,0.7333333333333333,0.7333333333333333,0.26666666666666666
qwen35_9b,bellman,exploration,30,0.9,1.0,0.9,0.9,0.1
qwen35_9b,bellman,logistics,30,0.8,1.0,0.8,0.8,0.2
qwen35_9b,bellman,resource_game,30,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
qwen35_9b,bellman,tool_agent,30,0.7333333333333333,0.9666666666666667,0.7666666666666667,0.7333333333333333,0.26666666666666666
qwen35_9b,cot,abstract_game,30,1.0,1.0,1.0,1.0,0.0
qwen35_9b,cot,cyber_defense,30,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.03333333333333333
qwen35_9b,cot,exploration,30,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.06666666666666667
qwen35_9b,cot,logistics,30,1.0,1.0,1.0,1.0,0.0
qwen35_9b,cot,resource_game,30,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.06666666666666667
qwen35_9b,cot,tool_agent,30,1.0,1.0,1.0,1.0,0.0
qwen35_9b,direct,abstract_game,30,0.1,0.1,1.0,0.1,0.9
qwen35_9b,direct,cyber_defense,30,0.0,0.0,0.9333333333333333,0.0,0.9333333333333333
qwen35_9b,direct,exploration,30,0.1,0.1,1.0,0.1,0.9
qwen35_9b,direct,logistics,30,0.13333333333333333,0.13333333333333333,1.0,0.13333333333333333,0.8666666666666667
qwen35_9b,direct,resource_game,30,0.1,0.1,1.0,0.1,0.8666666666666667
qwen35_9b,direct,tool_agent,30,0.13333333333333333,0.13333333333333333,1.0,0.13333333333333333,0.8666666666666667
